id,neighborhood,latitude,longitude,price,size_in_sqft,price_per_sqft,no_of_bedrooms,no_of_bathrooms,quality,maid_room,unfurnished,balcony,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,childrens_pool,concierge,covered_parking,kitchen_appliances,lobby_in_building,maid_service,networked,pets_allowed,private_garden,private_gym,private_jacuzzi,private_pool,security,shared_gym,shared_pool,shared_spa,study,vastu_compliant,view_of_landmark,view_of_water,walk_in_closet,distance_to_burj_khalifa,distance_to_burj_al_arab,distance_to_dubai_frame,distance_to_dubai_marina,distance_to_museum_of_the_future,distance_to_dubai_creek,distance_to_palm_jumeirah,distance_to_jbr
5528049,Palm Jumeirah,25.113208,55.138932,2700000,1079,2502.32,1,2,Medium,0,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,16.52670721892532,5.591628593269485,21.048281602895415,4.1402160202240985,16.72934640427131,24.117504050261218,0.11495675024272177,3.698226042328535
6008529,Palm Jumeirah,25.106809,55.151201,2850000,1582,1801.52,2,2,Medium,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,15.962078346435094,5.127121329373948,20.632455558648427,3.696976815712366,16.23656046181045,23.687005643675214,1.4630326720426385,3.3106541747466305
6034542,Jumeirah Lake Towers,25.063302,55.137728,1150000,1951,589.44,3,5,Medium,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,20.272600542217408,9.8933167344517,25.132932288286625,1.4123396043951222,20.664086939058173,28.142669961114812,5.470696268688901,1.8586047582552887
6326063,Culture Village,25.227295,55.341761,2850000,2020,1410.89,2,3,Low,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.557877971738825,18.44608116340963,4.722308244208388,26.572908979369604,7.564142493028534,3.7615945116416243,24.145697349390176,26.332698603275432
6356778,Palm Jumeirah,25.114275,55.139764,1729200,507,3410.65,0,1,Medium,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,16.390601632389284,5.456105721398471,20.907108790479516,4.262638132903334,16.59069555897727,23.976553877957002,0.2588902178529799,3.8221020928360665
6356784,Palm Jumeirah,25.114275,55.139764,3119900,1015,3073.79,1,2,Medium,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,16.390601632389284,5.456105721398471,20.907108790479516,4.262638132903334,16.59069555897727,23.976553877957002,0.2588902178529799,3.8221020928360665
6356790,Palm Jumeirah,25.114275,55.139764,8503600,2062,4123.96,2,3,High,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,16.390601632389284,5.456105721398471,20.907108790479516,4.262638132903334,16.59069555897727,23.976553877957002,0.2588902178529799,3.8221020928360665
6356797,Palm Jumeirah,25.114275,55.139764,3119900,1015,3073.79,1,2,Medium,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,16.390601632389284,5.456105721398471,20.907108790479516,4.262638132903334,16.59069555897727,23.976553877957002,0.2588902178529799,3.8221020928360665
6376886,Palm Jumeirah,25.106668,55.149275,2100000,2186,960.66,3,3,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.122928158511346,5.269256188369561,20.7810920272034,3.613720755974351,16.391231584791054,23.83746709178137,1.2986745582065329,3.216551577303073
6406935,Downtown Dubai,25.194935,55.282665,2690000,1521,1768.57,2,3,Medium,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0.8688888388709406,11.496740762460934,4.9704997187278925,19.716404274804418,1.6212178233782777,7.677239832599076,17.19708388123633,19.458611624351622
6473651,Downtown Dubai,25.198796,55.271342,3550000,1918,1850.89,3,4,Low,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.3551897652035617,10.787764824290033,5.0209726398976695,19.189424390151796,0.669837693639186,7.95675738735816,16.490069876328256,18.9113546661472
6493425,Dubai Marina,25.075017000000003,55.137997,2094999,1058,1980.15,2,3,Low,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,19.316392749584807,8.758975092705853,24.12245789367974,0.1247506449878336,19.67150504173681,27.150435578146375,4.167932341118921,0.5649918414109395
6493433,Dubai Marina,25.075017000000003,55.137997,1049999,609,1724.14,1,2,Low,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,19.316392749584807,8.758975092705853,24.12245789367974,0.1247506449878336,19.67150504173681,27.150435578146375,4.167932341118921,0.5649918414109395
6493447,Palm Jumeirah,25.132519,55.151574,1849000,1071,1726.42,1,1,Medium,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,14.301426517105453,3.5036070899304,18.691909177977195,6.444642258986383,14.441814227134788,21.764525486419394,2.6067691477334134,6.023857891075704
6505084,Palm Jumeirah,25.132445,55.152216,2089999,1051,1988.58,1,1,Medium,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,14.249776167395096,3.4439325606301727,18.64679910070627,6.451259962098059,14.392780680354575,21.719342600736606,2.634048645428898,6.032083187162739
6526806,Palm Jumeirah,25.132021,55.151405,2349990,1109,2119.02,1,1,Medium,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,14.344051421085709,3.5357159998324588,18.73992383336399,6.386875764011219,14.486829044161833,21.812491754409763,2.5506700058522997,5.966002034069394
6526808,Palm Jumeirah,25.132021,55.151405,3499000,1633,2142.68,2,2,Medium,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,14.344051421085709,3.5357159998324588,18.73992383336399,6.386875764011219,14.486829044161833,21.812491754409763,2.5506700058522997,5.966002034069394
6530645,Downtown Dubai,25.198316,55.270758,2700000,1348,2002.97,2,3,Medium,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.3868782325388836,10.708811426805507,5.0966309667252165,19.11015920192114,0.7210002873915057,8.035054991894874,16.411233161257503,18.832024056510853
6562472,Downtown Dubai,25.19702,55.271023,1490000,1167,1276.78,2,2,Medium,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.3403643902191725,10.645843294757176,5.208531408229996,19.02676488189369,0.865387424628744,8.132330113664954,16.34973827267345,18.750882555471005
6587672,Business Bay,25.180301,55.263892000000006,950000,894,1062.64,1,2,Medium,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,2.156130973204779,9.047179802322857,7.186833315797301,17.22398735564435,2.8114403002326536,10.059431711714241,14.736311915536376,16.965430717611984
6666254,Dubai Marina,25.072396,55.132386,1100000,985,1116.75,2,2,Medium,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,19.923902303892145,9.314929424725392,24.71549093538664,0.644679861818638,20.27039681587906,27.747867732509373,4.496331192079998,0.9599987790469227
6715521,Dubai Marina,25.079783,55.13904599999999,1390000,1307,1063.5,2,4,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.870818859939074,8.258280170728336,23.65616159002594,0.4521366706970418,19.212867209936512,26.689681056687185,3.6392113954402276,0.21746902452042435
6728311,Downtown Dubai,25.197316,55.274196,3999900,2323,1721.87,3,4,Medium,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0.02424178263218947,10.925820127939678,5.030826648817249,19.27690446374692,0.8995947664009908,7.915120492358096,16.630707868083185,19.004721675206923
